,Bigrams
475,lg
476,y-
477,ih
478,yd
479,ij
480,fm
481,pn
482,cp
483,-o
484,-n
485,d-
486,-e
487,-i
488,ii
489,-l
490,km
491,nw
492,zu
493,ux
494,dw
495,yw
496,md
497,kp
498,hm
499,xc
500,hb
501,23
502,-r
503,yr
504,fs
505,lv
506,01
507,iw
508,yf
509,fc
510,ml
511,ln
512,qi
513,vs
514,xn
515,bd
516,kb
517,rh
518,rw
519,yh
520,-h
521,9.
522,xe
523,uv
524,fy
525,bg
526,wp
527,xu
528,kn
529,gp
530,20
531,js
532,p-
533,pb
534,11
535,mr
536,cg
537,hp
538,bm
539,g-
540,6.
541,hc
542,yg
543,tz
544,zl
545,tk
546,lh
547,mn
548,sv
549,kc
550,c-
551,pg
552,88
553,bh
554,gf
555,mf
556,xs
557,gb
558,h-
559,-w
560,vt
561,51
562,ww
563,wt
564,pw
565,nx
566,65
567,21
568,kz
569,p3
570,dk
571,tj
572,dz
573,cf
574,uj
575,u-
576,uh
577,pf
578,lw
579,kk
580,wr
581,18
582,e2
583,sq
584,xm
585,-k
586,vr
587,kf
588,--
589,99
590,60
591,k-
592,zy
593,bp
594,kw
595,rz
596,vu
597,mh
598,uw
599,sz
600,gw
601,m-
602,mk
603,fx
604,hf
605,s2
606,qa
607,sj
608,xo
609,kd
610,wu
611,16
612,eq
613,hg
614,a2
615,vc
616,v-
617,vp
618,t2
619,xb
620,dj
621,-j
622,zn
623,rj
624,mv
625,-v
626,uu
627,hw
628,b-
629,2c
630,x-
631,3d
632,-u
633,mw
634,mz
635,zd
636,aq
637,13
638,oq
639,wd
640,17
641,cv
642,yv
643,zb
644,kv
645,vd
646,vm
647,wm
648,zt
649,wl
650,xv
651,xd
652,s1
653,sx
654,yk
655,nq
656,zm
657,e1
658,80
659,fp
660,hq
661,fw
662,wy
663,wb
664,gz
665,gk
666,lz
667,bj
668,19
669,fb
670,bf
671,xh
672,yj
673,fn
674,hh
675,68
676,vg
677,dx
678,22
679,fd
680,4u
681,1a
682,bz
683,wc
684,gj
685,k1
686,p1
687,15
688,bk
689,i2
690,77
691,cw
692,jd
693,3m
694,30
695,o2
696,tx
697,52
698,zc
699,xf
700,o1
701,bv
702,lx
703,vk
704,kg
705,zw
706,kj
707,vy
708,vf
709,w-
710,xl
711,vb
712,e3
713,gx
714,s4
715,91
716,vh
717,-z
718,fg
719,m2
720,qo
721,cj
722,31
723,yx
724,a1
725,zs
726,jh
727,jm
728,66
729,t1
730,33
731,n2
732,lj
733,jn
734,jc
735,cq
736,mj
737,ql
738,02
739,14
740,jk
741,55
742,1c
743,gv
744,jl
745,y2
746,zp
747,rx
748,58
749,.q
750,56
751,jr
752,s3
753,pj
754,4s
755,vl
756,zf
757,d1
758,zk
759,k2
760,uq
761,pv
762,37
763,vv
764,zj
765,-y
766,50
767,fh
768,0a
769,92
770,78
771,47
772,yy
773,wf
774,t3
775,f-
776,gq
777,jj
778,40
779,98
780,jy
781,xj
782,wg
783,zg
784,07
785,a3
786,2b
787,r1
788,x2
789,p2
790,i1
791,2m
792,h2
793,3s
794,d2
795,xr
796,jt
797,08
798,2p
799,2s
800,72
801,e4
802,xw
803,wz
804,wj
805,1t
806,bw
807,n1
808,xz
809,25
810,z-
811,qn
812,jb
813,38
814,hj
815,fz
816,o3
817,r3
818,r2
819,69
820,48
821,jf
822,4a
823,qq
824,b2
825,g1
826,61
827,l2
828,1x
829,g2
830,04
831,xg
832,px
833,4p
834,wk
835,d4
836,86
837,b1
838,cx
839,n3
840,c2
841,-1
842,zv
843,p4
844,y1
845,32
846,rq
847,89
848,35
849,4h
850,73
851,m1
852,jx
853,0m
854,1s
855,59
856,l1
857,hz
858,qp
859,2g
860,jw
861,hx
862,zr
863,x1
864,2d
865,96
866,85
867,2a
868,dq
869,fk
870,1p
871,hv
872,pz
873,-8
874,qt
875,87
876,0p
877,9a
878,1f
879,w3
880,zx
881,u1
882,vz
883,vx
884,28
885,90
886,26
887,27
888,67
889,qe
890,o8
891,95
892,v2
893,fj
894,97
895,70
896,71
897,n8
898,63
899,0s
900,34
901,zq
902,h1
903,n4
904,bx
905,3c
906,4c
907,45
908,75
909,1g
910,wv
911,05
912,o4
913,yq
914,-x
915,a4
916,f1
917,0d
918,m4
919,-q
920,qm
921,53
922,7x
923,29
924,3t
925,qf
926,t9
927,d3
928,qc
929,qy
930,2r
931,t4
932,qb
933,tq
934,2t
935,0c
936,39
937,qr
938,qw
939,s5
940,l5
941,1n
942,y4
943,c1
944,43
945,1d
946,9d
947,2h
948,qs
949,j-
950,l3
951,n0
952,0b
953,jz
954,bq
955,e5
956,q-
957,jg
958,8t
959,7e
960,4g
961,7s
962,4k
963,f2
964,81
965,e8
966,g3
967,5a
968,41
969,4l
970,-2
971,o7
972,4b
973,0t
974,3a
975,4t
976,4d
977,1m
978,fv
979,2k
980,2i
981,79
982,e6
983,2f
984,1b
985,u8
986,8g
987,d0
988,jq
989,m3
990,t8
991,b0
992,4f
993,09
994,4e
995,h3
996,l4
997,76
998,03
999,b4
1000,mq
1001,64
1002,9k
1003,84
1004,62
1005,42
1006,44
1007,u2
1008,7g
1009,1-
1010,0w
1011,i3
1012,6p
1013,3r
1014,d8
1015,46
1016,qz
1017,e7
1018,b5
1019,b9
1020,6a
1021,s8
1022,0g
1023,s7
1024,3-
1025,x8
1026,5m
1027,s0
1028,2u
1029,5p
1030,p5
1031,5s
1032,9b
1033,7c
1034,7a
1035,1j
1036,g4
1037,4m
1038,qh
1039,fq
1040,i5
1041,g5
1042,y8
1043,v3
1044,54
1045,-3
1046,wx
1047,a9
1048,qd
1049,r7
1050,qg
1051,t0
1052,8p
1053,9c
1054,1k
1055,d7
1056,pq
1057,1e
1058,7l
1059,v1
1060,7p
1061,vw
1062,3f
1063,3h
1064,jv
1065,3p
1066,83
1067,l7
1068,a5
1069,x4
1070,9x
1071,a7
1072,n7
1073,kq
1074,n6
1075,kx
1076,lq
1077,qx
1078,8c
1079,2n
1080,93
1081,2l
1082,2j
1083,2e
1084,1z
1085,xk
1086,7d
1087,57
1088,c7
1089,2z
1090,8d
1091,c0
1092,a0
1093,d6
1094,d5
1095,1q
1096,5e
1097,1l
1098,z1
1099,1h
1100,k3
1101,4y
1102,j1
1103,0k
1104,9t
1105,c4
1106,3e
1107,f3
1108,3g
1109,y3
1110,r6
1111,3x
1112,0n
1113,c3
1114,qv
1115,x7
1116,r9
1117,5h
1118,z2
1119,5i
1120,8k
1121,8m
1122,5b
1123,v4
1124,v5
1125,3j
1126,9g
1127,f5
1128,vj
1129,3b
1130,2-
1131,o6
1132,y5
1133,2w
1134,7k
1135,2q
1136,2o
1137,1y
1138,1w
1139,1v
1140,9m
1141,9n
1142,x5
1143,9s
1144,82
1145,06
1146,7y
1147,7z
1148,4i
1149,4j
1150,o5
1151,5-
1152,c5
1153,d9
1154,m5
1155,n9
1156,e0
1157,b3
1158,6v
1159,b8
1160,h0
1161,0f
1162,4w
1163,4x
1164,qj
1165,0h
1166,k9
1167,i7
1168,4v
1169,-4
1170,k8
1171,94
1172,4n
1173,p8
1174,7m
1175,u5
1176,t5
1177,4-
1178,p7
1179,k7
1180,5c
1181,5d
1182,-0
1183,q1
1184,5g
1185,-7
1186,3n
1187,5j
1188,5k
1189,z4
1190,3l
1191,5n
1192,u7
1193,o0
1194,8s
1195,q2
1196,3i
1197,5t
1198,z8
1199,5v
1200,vq
1201,i8
1202,l9
1203,a6
1204,n5
1205,m9
1206,g9
1207,1u
1208,74
1209,9h
1210,1i
1211,w2
1212,w1
1213,9j
1214,0x
1215,a8
1216,9l
1217,j9
1218,8b
1219,8a
1220,6s
1221,0r
1222,h5
1223,f4
1224,7-
1225,6j
1226,h7
1227,q8
1228,6m
1229,0y
1230,w0
1231,j0
1232,9i
1233,m6
1234,0j
1235,6t
1236,m7
1237,6d
1238,r4
1239,e9
1240,r8
1241,w9
1242,8f
1243,f9
1244,5z
1245,k5
1246,8l
1247,u6
1248,z7
1249,k4
1250,f8
1251,5o
1252,5l
1253,xq
1254,5f
1255,7b
1256,z3
1257,i4
1258,y9
1259,7f
1260,y7
1261,7h
1262,-5
1263,i0
1264,4o
1265,y6
1266,t7
1267,7n
1268,7t
1269,t6
1270,x6
1271,1r
1272,1o
1273,g8
1274,9e
1275,c8
1276,2x
1277,7j
1278,g7
1279,0v
1280,p0
1281,6y
1282,6x
1283,u3
1284,6u
1285,0o
1286,9p
1287,0l
1288,0i
1289,9u
1290,g6
1291,g0
1292,z6
1293,f7
1294,r5
1295,6e
1296,2y
1297,l8
1298,6b
1299,3k
1300,8-
1301,8j
1302,i9
1303,q7
1304,5w
1305,3o
1306,v7
1307,x0
1308,3u
1309,c9
1310,w8
1311,q6
1312,h8
1313,3y
1314,wq
1315,w4
1316,4r
1317,8z
1318,-9
1319,b7
1320,8y
1321,8x
1322,f0
1323,0-
1324,0z
1325,0u
1326,8q
1327,qk
1328,0e
1329,z9
1330,p9
1331,z0
1332,7w
1333,7v
1334,7u
1335,9f
1336,y0
1337,x9
1338,x3
1339,w7
1340,6-
1341,w6
1342,p6
1343,v9
1344,q3
1345,o9
1346,k0
1347,9r
1348,m8
1349,6n
1350,6l
1351,9v
1352,9w
1353,.y
1354,9y
1355,9z
1356,6i
1357,h6
1358,u9
1359,6f
1360,6c
1361,u4
1362,h4
1363,5u
1364,5r
1365,s9
1366,s6
1367,3w
1368,r0
1369,l0
1370,-6
1371,9-
1372,i6
1373,9o
1374,8w
1375,8v
1376,8u
1377,8r
1378,q4
1379,8n
1380,b6
1381,8h
1382,8e
1383,m0
1384,7q
1385,7o
1386,l6
1387,6z
1388,6w
1389,k6
1390,f6
1391,j7
1392,6k
1393,6h
1394,q9
1395,u0
1396,v0
1397,v6
1398,v8
1399,.5
1400,w5
1401,z5
1402,0q
1403,j2
1404,j3
1405,j4
1406,6g
1407,5y
1408,5x
1409,j6
1410,49
1411,4z
1412,c6
1413,3z
1414,.-
1415,..
1416,.9
1417,.8
1418,.7
1419,.6
1420,.4
1421,.3
1422,.2
1423,.1
1424,.0
1425,9q
1426,8o
1427,8i
1428,7r
1429,7i
1430,6r
1431,6q
1432,6o
1433,5q
1434,4q
1435,3v
1436,3q
1437,2v
1438,q5
1439,q0
1440,j8
1441,j5
1442,-.
1443,h9
