Name,Label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22
ibiza1,1,5,1662,291.4,277,48.56666667,0.833333333,0.833333333,0.626654913,4,62004,6742.5,10334,1123.75,0.666666667,0.666666667,0.299537683,3,0.5,1,4.556666667,1,0
idsafe,1,5,1327,134.4,221.1666667,22.4,0.833333333,0.833333333,0.468743135,4,42895,1423.75,7149.166667,237.2916667,0.666666667,0.666666667,0.159571528,3,0.5,1,6.308333333,3,0
iel-i,1,4,2344,212,468.8,42.4,0.8,0.8,0.413530141,3,35247,2955.666667,7049.4,591.1333333,0.6,0.6,0.189531183,3,0.6,1,6.08,0,0
ifcmallseoul,1,11,4109,156.5454545,342.4166667,13.04545455,0.916666667,0.916666667,0.950343585,10,126539,2945.2,10544.91667,245.4333333,0.833333333,0.833333333,0.560263212,5,0.416666667,1,5.524166667,6,0
inartplatform,1,12,5398,100.6666667,415.2307692,7.743589744,0.923076923,0.923076923,0.760199214,11,179804,985,13831.07692,75.76923077,0.846153846,0.846153846,0.294235567,4,0.307692308,1,5.941538462,7,0
inbnet,1,5,1537,163.6,256.1666667,27.26666667,0.833333333,0.833333333,0.3561448,4,51759,3887,8626.5,647.8333333,0.666666667,0.666666667,0.262427535,2,0.333333333,1,6.288333333,3,0
inpoz,1,4,1971,185.25,394.2,37.05,0.8,0.8,0.357709287,3,53637,3350.666667,10727.4,670.1333333,0.6,0.6,0.208895368,2,0.4,1,4.878,1,0
instaget,1,7,2670,45.85714286,333.75,5.732142857,0.875,0.875,0.29759146,6,94768,288.3333333,11846,36.04166667,0.75,0.75,0.065859908,3,0.375,1,6.7125,7,0
ioehub,1,5,2065,194.4,344.1666667,32.4,0.833333333,0.833333333,0.558292416,4,49398,3973.75,8233,662.2916667,0.666666667,0.666666667,0.30364007,4,0.666666667,1,5.405,2,0
ioikorea,1,7,2924,100.5714286,365.5,12.57142857,0.875,0.875,0.47291824,6,105129,2573.833333,13141.125,321.7291667,0.75,0.75,0.299729736,6,0.75,1,7.0925,4,0
ipecbureau,1,9,2790,126.6666667,279,12.66666667,0.9,0.9,0.708249067,8,104994,2156.25,10499.4,215.625,0.8,0.8,0.36314043,6,0.6,1,5.808,4,0
ipopam,1,5,2037,87.2,339.5,14.53333333,0.833333333,0.833333333,0.353326316,4,76805,1879,12800.83333,313.1666667,0.666666667,0.666666667,0.193366147,3,0.5,1,5.536666667,3,0
iquit925,1,7,5256,478.1428571,657,59.76785714,0.875,0.875,0.849010898,6,157999,8920.166667,19749.875,1115.020833,0.75,0.75,0.545816178,3,0.375,1,3.0975,2,0
issi,1,3,1719,61,429.75,15.25,0.75,0.75,0.170612076,2,38940,470.5,9735,117.625,0.5,0.5,0.035228426,2,0.5,1,6.94,1,1
j160710,1,6,6029,728,861.2857143,104,0.857142857,0.857142857,0.833991662,5,189047,18282.8,27006.71429,2611.828571,0.714285714,0.714285714,0.75082722,0,0,0,0.224285714,0,0
javre,1,4,1832,216.5,366.4,43.3,0.8,0.8,0.393493814,3,44809,3581.666667,8961.8,716.3333333,0.6,0.6,0.225888874,2,0.4,1,5.48,1,0
jdivision,1,8,3483,133.125,387,14.79166667,0.888888889,0.888888889,0.520705844,7,111437,1963.428571,12381.88889,218.1587302,0.777777778,0.777777778,0.253794356,4,0.444444444,1,5.251111111,5,0
jeilpyunghwa,1,11,5423,234.6363636,451.9166667,19.5530303,0.916666667,0.916666667,1.246581046,10,174024,5784.1,14502,482.0083333,0.833333333,0.833333333,0.895230734,4,0.333333333,1,4.310833333,0,0
jejustar,1,7,3096,159.1428571,387,19.89285714,0.875,0.875,0.55368305,6,116825,2368.333333,14603.125,296.0416667,0.75,0.75,0.267803177,3,0.375,1,5.3025,4,0
jikim-2017,1,9,6468,397,646.8,39.7,0.9,0.9,1.218664165,8,205389,5706.375,20538.9,570.6375,0.8,0.8,0.744363605,2,0.2,1,2.262,1,0
jinsiru,1,6,2864,119,409.1428571,17,0.857142857,0.857142857,0.445785001,5,83377,1768.4,11911,252.6285714,0.714285714,0.714285714,0.219435695,3,0.428571429,1,5.374285714,3,0
jjinsuit,1,7,3332,218.2857143,416.5,27.28571429,0.875,0.875,0.61531257,6,114168,2835.166667,14271,354.3958333,0.75,0.75,0.31583375,3,0.375,1,4.7325,4,0
jmana23,1,6,2444,295.6666667,349.1428571,42.23809524,0.857142857,0.857142857,0.551369136,5,51185,6363.8,7312.142857,909.1142857,0.714285714,0.714285714,0.397494562,2,0.285714286,1,4.16,3,0
jobteacher,1,9,2357,107.7777778,235.7,10.77777778,0.9,0.9,0.582288941,8,82864,1553,8286.4,155.3,0.8,0.8,0.273361856,4,0.4,1,5.783,8,0
joeganech,1,8,2034,107.625,226,11.95833333,0.888888889,0.888888889,0.562488337,7,73877,1841,8208.555556,204.5555556,0.777777778,0.777777778,0.27093696,4,0.444444444,1,5.723333333,3,0
kara,1,3,1046,48,261.5,12,0.75,0.75,0.117656776,2,15105,369.5,3776.25,92.375,0.5,0.5,0.027182692,2,0.5,1,6.76,0,1
kbookpromotions,1,14,6847,125.0714286,456.4666667,8.338095238,0.933333333,0.933333333,1.034097106,13,240393,1165.615385,16026.2,77.70769231,0.866666667,0.866666667,0.352028267,6,0.4,1,5.421333333,12,0
khgames,1,6,1535,179.5,219.2857143,25.64285714,0.857142857,0.857142857,0.477479116,5,51687,4107.8,7383.857143,586.8285714,0.714285714,0.714285714,0.258879184,2,0.285714286,1,5.107142857,4,0
kimchicon,1,8,2468,93,274.2222222,10.33333333,0.888888889,0.888888889,0.512169771,7,72835,1760.428571,8092.777778,195.6031746,0.777777778,0.777777778,0.283832959,3,0.333333333,1,4.863333333,7,0
kku,1,2,792,382,264,127.3333333,0.666666667,0.666666667,0.296063657,1,14841,7432,4947,2477.333333,0.333333333,0.333333333,0.117597272,1,0.333333333,1,2.343333333,0,1
kmac,1,3,853,160.3333333,213.25,40.08333333,0.75,0.75,0.229379179,2,32228,1108.5,8057,277.125,0.5,0.5,0.066628189,1,0.25,1,4.6225,1,1
kolonmall,1,8,3324,87.375,369.3333333,9.708333333,0.888888889,0.888888889,0.471035896,7,109785,824.8571429,12198.33333,91.65079365,0.777777778,0.777777778,0.177879229,3,0.333333333,1,5.472222222,3,0
koreapas,1,7,2355,61.57142857,294.375,7.696428571,0.875,0.875,0.34873483,6,88600,657.6666667,11075,82.20833333,0.75,0.75,0.126132789,4,0.5,1,6.675,7,0
krm,1,2,1057,260.5,352.3333333,86.83333333,0.666666667,0.666666667,0.260157296,1,15099,11203,5033,3734.333333,0.333333333,0.333333333,0.14087794,0,0,1,3.903333333,0,1
krx,1,2,1068,490.5,356,163.5,0.666666667,0.666666667,0.305209483,1,15110,20396,5036.666667,6798.666667,0.333333333,0.333333333,0.159759419,0,0,1,3.003333333,0,1
kstarhit,1,7,3097,108,387.125,13.5,0.875,0.875,0.435767984,6,105222,1672.5,13152.75,209.0625,0.75,0.75,0.240534533,2,0.25,1,5.79875,5,0
kwater,1,5,2157,138.8,359.5,23.13333333,0.833333333,0.833333333,0.300635823,4,75398,1293,12566.33333,215.5,0.666666667,0.666666667,0.11396917,2,0.333333333,1,5.785,3,0
lamsturn,1,7,3792,86.85714286,474,10.85714286,0.875,0.875,0.458747033,6,118893,815.8333333,14861.625,101.9791667,0.75,0.75,0.152492414,2,0.25,1,5.72125,5,0
lina,1,3,1240,22,310,5.5,0.75,0.75,0.073716002,2,28249,53.5,7062.25,13.375,0.5,0.5,0.005467363,2,0.5,1,6.88,1,1
linea-inc,1,7,3665,116.1428571,407.2222222,12.9047619,0.777777778,0.888888889,0.454314864,7,120202,1729,13355.77778,192.1111111,0.777777778,0.777777778,0.265903352,4,0.444444444,1,6.206666667,4,0
lotte,1,4,2454,80,490.8,16,0.8,0.8,0.247040587,3,65557,714.3333333,13111.4,142.8666667,0.6,0.6,0.072826578,2,0.4,1,6.776,1,0
lp-search,1,8,4060,157.375,451.1111111,17.48611111,0.888888889,0.888888889,0.661446465,7,150914,2289.142857,16768.22222,254.3492063,0.777777778,0.777777778,0.305925513,2,0.222222222,1,5.245555556,6,0
mbzn,1,3,1486,496,371.5,124,0.75,0.75,0.446299668,2,19800,16590.5,4950,4147.625,0.5,0.5,0.313989286,0,0,1,3.11,0,1
mcash,1,4,1247,113.5,249.4,22.7,0.8,0.8,0.280124512,3,21004,1034.333333,4200.8,206.8666667,0.6,0.6,0.083086556,1,0.2,1,5.126,3,0
mediajob,1,7,1946,123.7142857,243.25,15.46428571,0.875,0.875,0.548225112,6,53469,1108.666667,6683.625,138.5833333,0.75,0.75,0.166261775,4,0.5,1,5.39625,3,0
melfas,1,5,1259,109.8,209.8333333,18.3,0.833333333,0.833333333,0.346453007,4,47006,1529.25,7834.333333,254.875,0.666666667,0.666666667,0.168434659,2,0.333333333,1,5.868333333,3,0
mepfilms,1,7,2626,179.8571429,328.25,22.48214286,0.875,0.875,0.675530875,6,81585,2729.5,10198.125,341.1875,0.75,0.75,0.345935694,2,0.25,1,4.9425,4,0
micbet,1,5,1065,129.8,177.5,21.63333333,0.833333333,0.833333333,0.375443449,4,33812,2396.75,5635.333333,399.4583333,0.666666667,0.666666667,0.209475078,2,0.333333333,1,5.455,2,0
michyeora,1,8,3428,121.625,380.8888889,13.51388889,0.888888889,0.888888889,0.574179969,7,105487,3514.428571,11720.77778,390.4920635,0.777777778,0.777777778,0.438749041,4,0.444444444,1,5.736666667,2,0
minimalworks,1,11,4970,116.9090909,414.1666667,9.742424242,0.916666667,0.916666667,0.750667128,10,173453,897.9,14454.41667,74.825,0.833333333,0.833333333,0.248303024,4,0.333333333,1,5.413333333,9,0
miss87,1,5,3536,426,589.3333333,71,0.833333333,0.833333333,0.426137626,4,83935,10730.5,13989.16667,1788.416667,0.666666667,0.666666667,0.352191205,1,0.166666667,1,3.986666667,2,0
mmate,1,4,1673,75,334.6,15,0.8,0.8,0.193676685,3,35860,610.3333333,7172,122.0666667,0.6,0.6,0.054362674,2,0.4,1,6.382,4,0
mnwise,1,5,2844,222.6,474,37.1,0.833333333,0.833333333,0.509576335,4,81794,4828.5,13632.33333,804.75,0.666666667,0.666666667,0.274834976,2,0.333333333,1,5.71,2,0
mobmasker,1,8,2782,129.25,309.1111111,14.36111111,0.888888889,0.888888889,0.586618193,7,99059,1914.142857,11006.55556,212.6825397,0.777777778,0.777777778,0.301209214,3,0.333333333,1,5.572222222,5,0
mombbe,1,5,1557,170.4,259.5,28.4,0.833333333,0.833333333,0.487409128,4,57402,3566.75,9567,594.4583333,0.666666667,0.666666667,0.278226898,2,0.333333333,1,4.708333333,2,0
momotee,1,5,2923,78.8,417.5714286,11.25714286,0.714285714,0.857142857,0.289247373,5,104976,707,14996.57143,101,0.714285714,0.714285714,0.117804759,4,0.571428571,1,6.687142857,2,0
morcyria,1,7,3661,148.5714286,457.625,18.57142857,0.875,0.875,0.557246454,6,127374,2815.333333,15921.75,351.9166667,0.75,0.75,0.337664424,3,0.375,1,5.7275,2,0
mrtee,1,4,2024,148,404.8,29.6,0.8,0.8,0.302348044,3,70862,2921.333333,14172.4,584.2666667,0.6,0.6,0.163056458,2,0.4,1,7.064,2,0
mupa,1,3,1824,141,456,35.25,0.75,0.75,0.283701883,2,47555,4755,11888.75,1188.75,0.5,0.5,0.173359122,2,0.5,1,4.715,3,1
mush-room,1,8,5429,172.125,603.2222222,19.125,0.888888889,0.888888889,0.72158459,7,185452,2645.714286,20605.77778,293.968254,0.777777778,0.777777778,0.376551992,3,0.333333333,1,4.585555556,5,0
must1st,1,5,4459,341,637,48.71428571,0.714285714,0.857142857,0.507337801,5,142606,5285.8,20372.28571,755.1142857,0.714285714,0.714285714,0.389330342,1,0.142857143,1,4.58,3,0
myotp,1,4,2698,192.25,539.6,38.45,0.8,0.8,0.447336553,3,74417,3613,14883.4,722.6,0.6,0.6,0.231965942,1,0.2,1,4.272,1,0
nakrutka-youtube,1,14,8742,221.2857143,546.375,13.83035714,0.875,0.9375,1.488776928,14,330259,3081.428571,20641.1875,192.5892857,0.875,0.875,0.87037326,7,0.4375,1,4.94875,6,0
nhqv,1,3,1415,659,353.75,164.75,0.75,0.75,0.396365412,2,29793,13713.5,7448.25,3428.375,0.5,0.5,0.29235675,0,0,1,2.565,0,1
nodong,1,5,2221,67.2,370.1666667,11.2,0.833333333,0.833333333,0.288012628,4,65248,1150.5,10874.66667,191.75,0.666666667,0.666666667,0.131880619,2,0.333333333,1,5.41,6,0
nongshim,1,7,3087,94,385.875,11.75,0.875,0.875,0.482066936,6,105102,1200,13137.75,150,0.75,0.75,0.196016913,2,0.25,1,5.21625,6,0
nsauto,1,5,2736,86,456,14.33333333,0.833333333,0.833333333,0.346061896,4,75867,799.75,12644.5,133.2916667,0.666666667,0.666666667,0.100321305,3,0.5,1,6.431666667,2,0
nutricore,1,8,4289,62.5,476.5555556,6.944444444,0.888888889,0.888888889,0.376944837,7,138066,593.5714286,15340.66667,65.95238095,0.777777778,0.777777778,0.12860877,4,0.444444444,1,6.288888889,7,0
nutrione,1,7,4054,73.28571429,506.75,9.160714286,0.875,0.875,0.379352649,6,134943,657.6666667,16867.875,82.20833333,0.75,0.75,0.117184712,4,0.5,1,6.55125,7,0
odalmay,1,6,1576,93.33333333,225.1428571,13.33333333,0.857142857,0.857142857,0.402450217,5,58800,1089.8,8400,155.6857143,0.714285714,0.714285714,0.162903041,3,0.428571429,1,5.561428571,1,0
onestop1397,1,10,7361,329.9,669.1818182,29.99090909,0.909090909,0.909090909,0.72902336,9,227747,6949.444444,20704.27273,631.7676768,0.818181818,0.818181818,0.559470713,3,0.272727273,1,4.222727273,9,0
opmen04,1,6,3298,390.8333333,471.1428571,55.83333333,0.857142857,0.857142857,0.537278639,5,86502,9231.8,12357.42857,1318.828571,0.714285714,0.714285714,0.431968899,2,0.285714286,1,4.244285714,2,0
optok16,1,6,3885,310.5,555,44.35714286,0.857142857,0.857142857,0.657003167,5,107305,6770.6,15329.28571,967.2285714,0.714285714,0.714285714,0.416610045,2,0.285714286,1,3.69,3,0
ordsearch,1,8,2926,73.125,325.1111111,8.125,0.888888889,0.888888889,0.453275317,7,107788,592.5714286,11976.44444,65.84126984,0.777777778,0.777777778,0.135881427,3,0.333333333,1,6.152222222,7,0
ororowear,1,6,3989,61,443.2222222,6.777777778,0.666666667,0.888888889,0.278461906,6,150727,1052.166667,16747.44444,116.9074074,0.666666667,0.777777778,0.166648681,5,0.555555556,1,6.822222222,8,0
ours-shop,1,8,5664,115,629.3333333,12.77777778,0.888888889,0.888888889,0.646318717,7,194275,1056.142857,21586.11111,117.3492063,0.777777778,0.777777778,0.200130298,3,0.333333333,1,4.88,5,0
paekhap,1,6,1410,184.5,201.4285714,26.35714286,0.857142857,0.857142857,0.612195158,5,52823,4309.6,7546.142857,615.6571429,0.714285714,0.714285714,0.397970758,3,0.428571429,1,5.524285714,2,0
pathfindersonline,1,15,6557,79,385.7058824,4.647058824,0.882352941,0.941176471,0.759822912,15,229806,708.6666667,13518,41.68627451,0.882352941,0.882352941,0.268370026,6,0.352941176,1,6.074705882,17,0
peacewoods,1,9,3054,99.11111111,305.4,9.911111111,0.9,0.9,0.692393507,8,110779,1343.875,11077.9,134.3875,0.8,0.8,0.28674116,5,0.5,1,6.101,6,0
philinlove,1,9,4210,89.33333333,421,8.933333333,0.9,0.9,0.590844012,8,129260,820.25,12926,82.025,0.8,0.8,0.199217694,4,0.4,1,5.403,3,0
